Angular_Distances(radians) , Number_of_Entries
2.391e+00 , 1897858 
2.398e+00 , 1885409 
2.405e+00 , 1869950 
2.411e+00 , 1856182 
2.419e+00 , 1844217 
2.426e+00 , 1832405 
2.433e+00 , 1816275 
2.440e+00 , 1802805 
2.447e+00 , 1787420 
2.454e+00 , 1775452 
2.461e+00 , 1757895 
2.467e+00 , 1743449 
2.475e+00 , 1729409 
2.482e+00 , 1721881 
2.489e+00 , 1704585 
2.496e+00 , 1688013 
2.503e+00 , 1673446 
2.510e+00 , 1657669 
2.516e+00 , 1643015 
2.523e+00 , 1625106 
2.531e+00 , 1611407 
2.538e+00 , 1597575 
2.545e+00 , 1579262 
2.552e+00 , 1563389 
2.559e+00 , 1547784 
2.566e+00 , 1534521 
2.572e+00 , 1516519 
2.580e+00 , 1502279 
2.587e+00 , 1486441 
2.594e+00 , 1473212 
2.601e+00 , 1453126 
2.608e+00 , 1443957 
2.615e+00 , 1429050 
2.622e+00 , 1415644 
2.628e+00 , 1395938 
2.636e+00 , 1385990 
2.643e+00 , 1370961 
2.650e+00 , 1354458 
2.657e+00 , 1339951 
2.664e+00 , 1320487 
2.671e+00 , 1305354 
2.678e+00 , 1287580 
2.684e+00 , 1273031 
2.692e+00 , 1259509 
2.699e+00 , 1241129 
2.706e+00 , 1224529 
2.713e+00 , 1206450 
2.720e+00 , 1189296 
2.727e+00 , 1172700 
2.734e+00 , 1152847 
2.740e+00 , 1138296 
2.748e+00 , 1118974 
2.755e+00 , 1102590 
2.762e+00 , 1088928 
2.769e+00 , 1066743 
2.776e+00 , 1047545 
2.783e+00 , 1029167 
2.789e+00 , 1006616 
2.796e+00 , 992547 
2.804e+00 , 972094 
2.811e+00 , 954592 
2.818e+00 , 936093 
2.825e+00 , 915500 
2.832e+00 , 897175 
2.839e+00 , 880212 
2.845e+00 , 860044 
2.853e+00 , 839131 
2.860e+00 , 821982 
2.867e+00 , 801183 
2.874e+00 , 780156 
2.881e+00 , 762137 
2.888e+00 , 743066 
2.895e+00 , 723207 
2.901e+00 , 702578 
2.909e+00 , 684461 
2.916e+00 , 664352 
2.923e+00 , 645339 
2.930e+00 , 629872 
2.937e+00 , 608378 
2.944e+00 , 588772 
2.951e+00 , 568438 
2.957e+00 , 550722 
2.965e+00 , 532378 
2.972e+00 , 511524 
2.979e+00 , 493118 
2.986e+00 , 472245 
2.993e+00 , 453132 
3.000e+00 , 433858 
3.007e+00 , 412485 
3.013e+00 , 391931 
3.021e+00 , 371290 
3.028e+00 , 352930 
3.035e+00 , 332734 
3.042e+00 , 313550 
3.049e+00 , 291321 
3.056e+00 , 270122 
3.062e+00 , 249350 
3.070e+00 , 228754 
3.077e+00 , 207214 
3.084e+00 , 185160 
3.091e+00 , 162958 
3.098e+00 , 141131 
3.105e+00 , 119462 
3.112e+00 , 95986 
3.118e+00 , 74886 
3.126e+00 , 52200 
3.133e+00 , 29408 
3.140e+00 , 7265 
3.147e+00 , 0 
3.154e+00 , 0 
3.161e+00 , 0 
3.168e+00 , 0 
3.174e+00 , 0 
3.182e+00 , 0 
3.189e+00 , 0 
3.196e+00 , 0 
3.203e+00 , 0 
3.210e+00 , 0 
3.217e+00 , 0 
3.224e+00 , 0 
3.230e+00 , 0 
3.238e+00 , 0 
3.245e+00 , 0 
3.252e+00 , 0 
3.259e+00 , 0 
3.266e+00 , 0 
3.273e+00 , 0 
3.280e+00 , 0 
3.287e+00 , 0 
3.294e+00 , 0 
3.301e+00 , 0 
3.308e+00 , 0 
3.315e+00 , 0 
3.322e+00 , 0 
3.329e+00 , 0 
3.336e+00 , 0 
3.343e+00 , 0 
3.350e+00 , 0 
3.357e+00 , 0 
3.364e+00 , 0 
3.371e+00 , 0 
3.378e+00 , 0 
3.385e+00 , 0 
3.391e+00 , 0 
3.399e+00 , 0 
3.406e+00 , 0 
3.413e+00 , 0 
3.420e+00 , 0 
3.427e+00 , 0 
3.434e+00 , 0 
3.441e+00 , 0 
3.447e+00 , 0 
3.455e+00 , 0 
3.462e+00 , 0 
3.469e+00 , 0 
3.476e+00 , 0 
3.483e+00 , 0 
3.490e+00 , 0 
3.497e+00 , 0 
3.504e+00 , 0 
