Bins, HIstogram data
2.510e+00 , 269585 
2.516e+00 , 266628 
2.523e+00 , 262758 
2.531e+00 , 258575 
2.538e+00 , 255040 
2.545e+00 , 251783 
2.552e+00 , 248308 
2.559e+00 , 244833 
2.566e+00 , 240812 
2.572e+00 , 238420 
2.580e+00 , 234086 
2.587e+00 , 229751 
2.594e+00 , 226563 
2.601e+00 , 223749 
2.608e+00 , 221402 
2.615e+00 , 217658 
2.622e+00 , 213624 
2.628e+00 , 209733 
2.636e+00 , 205260 
2.643e+00 , 202905 
2.650e+00 , 199703 
2.657e+00 , 195759 
2.664e+00 , 192623 
2.671e+00 , 188761 
2.678e+00 , 184862 
2.684e+00 , 181526 
2.692e+00 , 179104 
2.699e+00 , 175133 
2.706e+00 , 171641 
2.713e+00 , 168102 
2.720e+00 , 164142 
2.727e+00 , 160406 
2.734e+00 , 157074 
2.740e+00 , 154363 
2.748e+00 , 150074 
2.755e+00 , 145727 
2.762e+00 , 141741 
2.769e+00 , 138867 
2.776e+00 , 134617 
2.783e+00 , 131114 
2.789e+00 , 127224 
2.796e+00 , 123994 
2.804e+00 , 120164 
2.811e+00 , 116735 
2.818e+00 , 113290 
2.825e+00 , 109234 
2.832e+00 , 105727 
2.839e+00 , 102138 
2.845e+00 , 98778 
2.853e+00 , 95635 
2.860e+00 , 91426 
2.867e+00 , 87569 
2.874e+00 , 84361 
2.881e+00 , 80598 
2.888e+00 , 77891 
2.895e+00 , 74011 
2.901e+00 , 70412 
2.909e+00 , 66987 
2.916e+00 , 63476 
2.923e+00 , 59121 
2.930e+00 , 56215 
2.937e+00 , 52215 
2.944e+00 , 48948 
2.951e+00 , 45715 
2.957e+00 , 42262 
2.965e+00 , 38837 
2.972e+00 , 35046 
2.979e+00 , 31884 
2.986e+00 , 28718 
2.993e+00 , 25076 
3.000e+00 , 21496 
3.007e+00 , 18778 
3.013e+00 , 16420 
3.021e+00 , 14046 
3.028e+00 , 12120 
3.035e+00 , 10530 
3.042e+00 , 8723 
3.049e+00 , 7321 
3.056e+00 , 5904 
3.062e+00 , 4790 
3.070e+00 , 3764 
3.077e+00 , 2840 
3.084e+00 , 2031 
3.091e+00 , 1496 
3.098e+00 , 1111 
3.105e+00 , 593 
3.112e+00 , 318 
3.118e+00 , 118 
3.126e+00 , 18 
3.133e+00 , 0 
3.140e+00 , 0 
3.147e+00 , 0 
3.154e+00 , 0 
3.161e+00 , 0 
3.168e+00 , 0 
3.174e+00 , 0 
3.182e+00 , 0 
3.189e+00 , 0 
3.196e+00 , 0 
3.203e+00 , 0 
3.210e+00 , 0 
3.217e+00 , 0 
3.224e+00 , 0 
3.230e+00 , 0 
3.238e+00 , 0 
3.245e+00 , 0 
3.252e+00 , 0 
3.259e+00 , 0 
3.266e+00 , 0 
3.273e+00 , 0 
3.280e+00 , 0 
3.287e+00 , 0 
3.294e+00 , 0 
3.301e+00 , 0 
3.308e+00 , 0 
3.315e+00 , 0 
3.322e+00 , 0 
3.329e+00 , 0 
3.336e+00 , 0 
3.343e+00 , 0 
3.350e+00 , 0 
3.357e+00 , 0 
3.364e+00 , 0 
3.371e+00 , 0 
3.378e+00 , 0 
3.385e+00 , 0 
3.391e+00 , 0 
3.399e+00 , 0 
3.406e+00 , 0 
3.413e+00 , 0 
3.420e+00 , 0 
3.427e+00 , 0 
3.434e+00 , 0 
3.441e+00 , 0 
3.447e+00 , 0 
3.455e+00 , 0 
3.462e+00 , 0 
3.469e+00 , 0 
3.476e+00 , 0 
3.483e+00 , 0 
3.490e+00 , 0 
3.497e+00 , 0 
3.504e+00 , 0 
