6.67420e8   5.97400e24   734.90000e20  
67000.00000  2.04618e20  74893.03512,0.00000,0.00000,2.24753,0.00003,378311947.31517,0.00000,0.00000,182.70160,0.00278,
68000.00000  2.04816e20  77157.70687,0.00000,0.00000,2.28181,0.00003,378127852.21327,0.00000,0.00000,185.48860,0.00279,
69000.00000  2.05018e20  79456.68014,0.00000,0.00000,2.31613,0.00003,377940968.74153,0.00000,0.00000,188.27834,0.00279,
70000.00000  2.05224e20  81789.98903,0.00000,0.00000,2.35049,0.00003,377751294.12870,0.00000,0.00000,191.07088,0.00279,
71000.00000  2.05432e20  84157.66819,0.00000,0.00000,2.38487,0.00003,377558825.55761,0.00000,0.00000,193.86626,0.00280,
72000.00000  2.05644e20  86559.75284,0.00000,0.00000,2.41930,0.00003,377363560.16492,0.00000,0.00000,196.66453,0.00280,
73000.00000  2.05860e20  88996.27878,0.00000,0.00000,2.45376,0.00003,377165495.04094,0.00000,0.00000,199.46572,0.00280,
74000.00000  2.06079e20  91467.28238,0.00000,0.00000,2.48825,0.00003,376964627.22931,0.00000,0.00000,202.26990,0.00280,
75000.00000  2.06301e20  93972.80057,0.00000,0.00000,2.52278,0.00003,376760953.72678,0.00000,0.00000,205.07710,0.00281,
76000.00000  2.06527e20  96512.87089,0.00000,0.00000,2.55736,0.00003,376554471.48296,0.00000,0.00000,207.88738,0.00281,
77000.00000  2.06757e20  99087.53145,0.00000,0.00000,2.59197,0.00003,376345177.40002,0.00000,0.00000,210.70078,0.00281,
78000.00000  2.06990e20  101696.82093,0.00000,0.00000,2.62661,0.00003,376133068.33247,0.00000,0.00000,213.51735,0.00282,
79000.00000  2.07226e20  104340.77863,0.00000,0.00000,2.66130,0.00003,375918141.08684,0.00000,0.00000,216.33714,0.00282,
80000.00000  2.07466e20  107019.44442,0.00000,0.00000,2.69603,0.00003,375700392.42144,0.00000,0.00000,219.16019,0.00282,
81000.00000  2.07710e20  109732.85877,0.00000,0.00000,2.73080,0.00003,375479819.04606,0.00000,0.00000,221.98656,0.00283,
82000.00000  2.07957e20  112481.06277,0.00000,0.00000,2.76561,0.00003,375256417.62167,0.00000,0.00000,224.81629,0.00283,
83000.00000  2.08208e20  115264.09809,0.00000,0.00000,2.80046,0.00003,375030184.76016,0.00000,0.00000,227.64943,0.00283,
84000.00000  2.08462e20  118082.00701,0.00000,0.00000,2.83536,0.00003,374801117.02400,0.00000,0.00000,230.48604,0.00284,
